id,Name,Artifact Type,Jama ID,Jama URL,HSD ID,HSD URL,Affected Component
377246,IPU SDK Layout - Init Package,ND SW Requirement,"=""22016633243""",https://hsdes.intel.com/appstore/article/#/22016633243,"","",Unassigned
377245,Document IMC Initialization Package,ND SW Requirement,"=""22016633136""",https://hsdes.intel.com/appstore/article/#/22016633136,"","",Unassigned
377244,Init Package:  SEM Block - Default Profiles,ND SW Requirement,"=""22016632362""",https://hsdes.intel.com/appstore/article/#/22016632362,"","",Unassigned
377243,Init Package:  FXP Parser - Error PTYPE,ND SW Requirement,"=""22016632361""",https://hsdes.intel.com/appstore/article/#/22016632361,"","",Unassigned
377242,Init Package:  FXP Parser - PTYPES,ND SW Requirement,"=""22016632360""",https://hsdes.intel.com/appstore/article/#/22016632360,"","",Unassigned
377241,Init Package:  VLAN Header Reporting,ND SW Requirement,"=""22016632358""",https://hsdes.intel.com/appstore/article/#/22016632358,"","",Unassigned
377240,Init Package:  Default Configuration,ND SW Requirement,"=""22016632357""",https://hsdes.intel.com/appstore/article/#/22016632357,"","",Unassigned
377239,Init Package:  Manageability,ND SW Requirement,"=""22016632356""",https://hsdes.intel.com/appstore/article/#/22016632356,"","",Unassigned
377238,Init Package:  FXP Parser - Protocol Headers,ND SW Requirement,"=""22016632355""",https://hsdes.intel.com/appstore/article/#/22016632355,"","",Unassigned
377237,Init Package:  CXP Parser - Protocol Headers,ND SW Requirement,"=""22016632354""",https://hsdes.intel.com/appstore/article/#/22016632354,"","",Unassigned
377236,LAN ACC Performance Expectations - 100G,ND SW Requirement,"=""22016623403""",https://hsdes.intel.com/appstore/article/#/22016623403,"","",Unassigned
377235,IPU Documentation - Getting Started Guide,ND SW Requirement,"=""22016569434""",https://hsdes.intel.com/appstore/article/#/22016569434,"","",Unassigned
377234,"IPU Documentation - IPU ""How To"" Guide",ND SW Requirement,"=""22016568982""",https://hsdes.intel.com/appstore/article/#/22016568982,"","",Unassigned
377233,Document Clara Peak,ND SW Requirement,"=""22016540712""",https://hsdes.intel.com/appstore/article/#/22016540712,"","",Unassigned
377232,IPU Fuse Configuration Utility - IPU SDK Layout,ND SW Requirement,"=""22016503463""",https://hsdes.intel.com/appstore/article/#/22016503463,"","",Unassigned
377231,IPU Update - IPU SDK Layout,ND SW Requirement,"=""22016503460""",https://hsdes.intel.com/appstore/article/#/22016503460,"","",Unassigned
377230,ISET - IMC rootfs Layout,ND SW Requirement,"=""22016502994""",https://hsdes.intel.com/appstore/article/#/22016502994,"","",Unassigned
377229,Init Package: CXP Packet Types,ND SW Requirement,"=""22016490848""",https://hsdes.intel.com/appstore/article/#/22016490848,"","",Unassigned
377228,LCE Performance Expectations - without LAN traffic,ND SW Requirement,"=""22016481636""",https://hsdes.intel.com/appstore/article/#/22016481636,"","",Unassigned
377227,Protocol ID and PTYPE Metadata,ND SW Requirement,"=""22016468748""",https://hsdes.intel.com/appstore/article/#/22016468748,"","",Unassigned
377226,Protocol ID and PTYPE Metadata,ND SW Requirement,"=""22016468736""",https://hsdes.intel.com/appstore/article/#/22016468736,"","",Unassigned
377225,LCE readme,ND SW Requirement,"=""22016374384""",https://hsdes.intel.com/appstore/article/#/22016374384,"","",Unassigned
377224,Document Clara Peak,ND SW Requirement,"=""22016369568""",https://hsdes.intel.com/appstore/article/#/22016369568,"","",Unassigned
377223,AES GCM Support,ND SW Requirement,"=""22016342519""",https://hsdes.intel.com/appstore/article/#/22016342519,"","",Unassigned
377222,MDEV Support - Exceed Ring Pairs on Device,ND SW Requirement,"=""22016341381""",https://hsdes.intel.com/appstore/article/#/22016341381,"","",Unassigned
