"id","title","component"
"=HYPERLINK(""https://hsdes.intel.com/resource/13010465536"",""13010465536"")","IPU Fuse Configuration Utility - IMC rootfs Layout","sw.media_ipu_sdk"
"=HYPERLINK(""https://hsdes.intel.com/resource/13010465679"",""13010465679"")","IPU Fuse Configuration Utility - tool description","sw.ie_tools_docs-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/14015250948"",""14015250948"")","True Random Number Generator Interface","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/14015439675"",""14015439675"")","ARM System Ready Embedded Server (ES) version 1.1 Certification","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/14015471728"",""14015471728"")","Management Mode Interface","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/18016997078"",""18016997078"")","ACC UEFI FW - UEFI runtime services - Time","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18016997231"",""18016997231"")","ACC UEFI FW - UEFI runtime services - Variable","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017009567"",""18017009567"")","ACC UEFI FW - Serial Console support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017010252"",""18017010252"")","ACC UEFI FW - ACC PCIe subsystem support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017010344"",""18017010344"")","ACC UEFI FW - Embedded EFI Shell","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017010379"",""18017010379"")","ACC UEFI FW - SMBIOS tables","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017010404"",""18017010404"")","ACC UEFI FW - Network boot support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017059379"",""18017059379"")","ACC UEFI FW - System Timer support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017059683"",""18017059683"")","ACC UEFI FW - Dynamic Memory Map","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017076287"",""18017076287"")","ACC UEFI FW - Interrupt Controller support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017089871"",""18017089871"")","ACC UEFI FW - ACPI tables supported","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017091128"",""18017091128"")","ACC UEFI FW - Local Storage support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017313897"",""18017313897"")","ACC UEFI FW - UEFI runtime services - Reset System","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18017758807"",""18017758807"")","ACC UEFI FW - Tianocore EDK2 based implementation","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18018475465"",""18018475465"")","ACC UEFI FW - UEFI Secure Boot support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18020138316"",""18020138316"")","IPU Update - Update flow for MEV","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023160855"",""18023160855"")","IPU Update - Update Flow for MEV (IMC Recovery and ACC UEFI Support)","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023168011"",""18023168011"")","IPU Update - support for command line parameters","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023774170"",""18023774170"")","ACC UEFI FW - Embedded Setup Utility","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023969370"",""18023969370"")","ACC UEFI FW - UEFI Secure Boot default state","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023969452"",""18023969452"")","ACC UEFI FW - local SSD access through iSCSI","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023969456"",""18023969456"")","ACC UEFI FW - Boot from RAM","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023969466"",""18023969466"")","ACC UEFI FW - Boot Order","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023969504"",""18023969504"")","ACC UEFI FW - TLS ciphers support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023969555"",""18023969555"")","ACC UEFI FW - ACPI description for platform devices","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18023969698"",""18023969698"")","ACC UEFI FW - Power Button Support","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18024176883"",""18024176883"")","IPU Fuse Configuration Utility - read ECM EFuse","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/18024176953"",""18024176953"")","IPU Fuse Configuration Utility - validate EFuse","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/18024177259"",""18024177259"")","IPU Fuse Configuration Utility - OEM unlock","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/18024805933"",""18024805933"")","ACC UEFI FW - SBSA Watchdog Timer handling","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18024808443"",""18024808443"")","ACC UEFI FW - EFI Boot Services Watchdog Timer","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18024808553"",""18024808553"")","ACC UEFI FW - SBSA Watchdog Timer bark interrupts handling","sw.pre-boot_acc_uefi_fw"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025185453"",""18025185453"")","IPU Update - exit codes and error handling","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025552858"",""18025552858"")","IPU Fuse Configuration Utility - JSON user input","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025697724"",""18025697724"")","Logging information to syslog","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025808530"",""18025808530"")","IPU Update - support for PLDM files","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025933942"",""18025933942"")","IPU Fuse Configuration Utility - Logging information to syslog","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025933964"",""18025933964"")","IPU Fuse Configuration Utility - exit codes and error handling","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025976988"",""18025976988"")","IPU Update tool - tool description","sw.ie_tools_docs-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/18025979870"",""18025979870"")","IPU Update - IMC rootfs Layout","sw.media_ipu_sdk"
"=HYPERLINK(""https://hsdes.intel.com/resource/18026051887"",""18026051887"")","IPU Update - Help mode","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18026051912"",""18026051912"")","IPU Update - Print version","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18026068976"",""18026068976"")","IPU Fuse Configuration Utility - run tool as root","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/18026423008"",""18026423008"")","IPU Update - run tool as root","sw.tools_ipu_update"
"=HYPERLINK(""https://hsdes.intel.com/resource/18026444356"",""18026444356"")","IPU Update - report reset type","sw.tools_ipu_update"
