Name,Affected Component,HSD URL,Jama URL,Jama ID,id,Artifact Type,HSD ID
IPU Fuse Configuration Utility - IMC rootfs Layout,sw.media_ipu_sdk,https://hsdes.intel.com/resource/13010465536,https://hsdes.intel.com/resource/13010465536,13010465536,377123,ND SW Requirement,13010465536
IPU Fuse Configuration Utility - tool description,sw.ie_tools_docs-ipu,https://hsdes.intel.com/resource/13010465679,https://hsdes.intel.com/resource/13010465679,13010465679,377124,ND SW Requirement,13010465679
True Random Number Generator Interface,sw.smartnic_acc_atf,https://hsdes.intel.com/resource/14015250948,https://hsdes.intel.com/resource/14015250948,14015250948,377125,ND SW Requirement,14015250948
ARM System Ready Embedded Server (ES) version 1.1 Certification,sw.smartnic_acc_atf,https://hsdes.intel.com/resource/14015439675,https://hsdes.intel.com/resource/14015439675,14015439675,377126,ND SW Requirement,14015439675
Management Mode Interface,sw.smartnic_acc_atf,https://hsdes.intel.com/resource/14015471728,https://hsdes.intel.com/resource/14015471728,14015471728,377127,ND SW Requirement,14015471728
ACC UEFI FW - UEFI runtime services - Time,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18016997078,https://hsdes.intel.com/resource/18016997078,18016997078,377128,ND SW Requirement,18016997078
ACC UEFI FW - UEFI runtime services - Variable,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18016997231,https://hsdes.intel.com/resource/18016997231,18016997231,377129,ND SW Requirement,18016997231
ACC UEFI FW - Serial Console support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017009567,https://hsdes.intel.com/resource/18017009567,18017009567,377130,ND SW Requirement,18017009567
ACC UEFI FW - ACC PCIe subsystem support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017010252,https://hsdes.intel.com/resource/18017010252,18017010252,377131,ND SW Requirement,18017010252
ACC UEFI FW - Embedded EFI Shell,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017010344,https://hsdes.intel.com/resource/18017010344,18017010344,377132,ND SW Requirement,18017010344
ACC UEFI FW - SMBIOS tables,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017010379,https://hsdes.intel.com/resource/18017010379,18017010379,377133,ND SW Requirement,18017010379
ACC UEFI FW - Network boot support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017010404,https://hsdes.intel.com/resource/18017010404,18017010404,377134,ND SW Requirement,18017010404
ACC UEFI FW - System Timer support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017059379,https://hsdes.intel.com/resource/18017059379,18017059379,377135,ND SW Requirement,18017059379
ACC UEFI FW - Dynamic Memory Map,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017059683,https://hsdes.intel.com/resource/18017059683,18017059683,377136,ND SW Requirement,18017059683
ACC UEFI FW - Interrupt Controller support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017076287,https://hsdes.intel.com/resource/18017076287,18017076287,377137,ND SW Requirement,18017076287
ACC UEFI FW - ACPI tables supported,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017089871,https://hsdes.intel.com/resource/18017089871,18017089871,377138,ND SW Requirement,18017089871
ACC UEFI FW - Local Storage support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017091128,https://hsdes.intel.com/resource/18017091128,18017091128,377139,ND SW Requirement,18017091128
ACC UEFI FW - UEFI runtime services - Reset System,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017313897,https://hsdes.intel.com/resource/18017313897,18017313897,377140,ND SW Requirement,18017313897
ACC UEFI FW - Tianocore EDK2 based implementation,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18017758807,https://hsdes.intel.com/resource/18017758807,18017758807,377141,ND SW Requirement,18017758807
ACC UEFI FW - UEFI Secure Boot support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18018475465,https://hsdes.intel.com/resource/18018475465,18018475465,377142,ND SW Requirement,18018475465
IPU Update - Update flow for MEV,sw.tools_ipu_update,https://hsdes.intel.com/resource/18020138316,https://hsdes.intel.com/resource/18020138316,18020138316,377143,ND SW Requirement,18020138316
IPU Update - Update Flow for MEV (IMC Recovery and ACC UEFI Support),sw.tools_ipu_update,https://hsdes.intel.com/resource/18023160855,https://hsdes.intel.com/resource/18023160855,18023160855,,ND SW Requirement,18023160855
IPU Update - support for command line parameters,sw.tools_ipu_update,https://hsdes.intel.com/resource/18023168011,https://hsdes.intel.com/resource/18023168011,18023168011,377144,ND SW Requirement,18023168011
ACC UEFI FW - Embedded Setup Utility,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023774170,https://hsdes.intel.com/resource/18023774170,18023774170,377145,ND SW Requirement,18023774170
ACC UEFI FW - UEFI Secure Boot default state,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023969370,https://hsdes.intel.com/resource/18023969370,18023969370,377146,ND SW Requirement,18023969370
ACC UEFI FW - local SSD access through iSCSI,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023969452,https://hsdes.intel.com/resource/18023969452,18023969452,377147,ND SW Requirement,18023969452
ACC UEFI FW - Boot from RAM,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023969456,https://hsdes.intel.com/resource/18023969456,18023969456,377148,ND SW Requirement,18023969456
ACC UEFI FW - Boot Order,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023969466,https://hsdes.intel.com/resource/18023969466,18023969466,377149,ND SW Requirement,18023969466
ACC UEFI FW - TLS ciphers support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023969504,https://hsdes.intel.com/resource/18023969504,18023969504,377150,ND SW Requirement,18023969504
ACC UEFI FW - ACPI description for platform devices,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023969555,https://hsdes.intel.com/resource/18023969555,18023969555,377151,ND SW Requirement,18023969555
ACC UEFI FW - Power Button Support,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18023969698,https://hsdes.intel.com/resource/18023969698,18023969698,377152,ND SW Requirement,18023969698
IPU Fuse Configuration Utility - read ECM EFuse,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18024176883,https://hsdes.intel.com/resource/18024176883,18024176883,377153,ND SW Requirement,18024176883
IPU Fuse Configuration Utility - validate EFuse,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18024176953,https://hsdes.intel.com/resource/18024176953,18024176953,377154,ND SW Requirement,18024176953
IPU Fuse Configuration Utility - OEM unlock,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18024177259,https://hsdes.intel.com/resource/18024177259,18024177259,377155,ND SW Requirement,18024177259
ACC UEFI FW - SBSA Watchdog Timer handling,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18024805933,https://hsdes.intel.com/resource/18024805933,18024805933,,ND SW Requirement,18024805933
ACC UEFI FW - EFI Boot Services Watchdog Timer,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18024808443,https://hsdes.intel.com/resource/18024808443,18024808443,,ND SW Requirement,18024808443
ACC UEFI FW - SBSA Watchdog Timer bark interrupts handling,sw.pre-boot_acc_uefi_fw,https://hsdes.intel.com/resource/18024808553,https://hsdes.intel.com/resource/18024808553,18024808553,,ND SW Requirement,18024808553
IPU Update - exit codes and error handling,sw.tools_ipu_update,https://hsdes.intel.com/resource/18025185453,https://hsdes.intel.com/resource/18025185453,18025185453,377156,ND SW Requirement,18025185453
IPU Fuse Configuration Utility - JSON user input,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18025552858,https://hsdes.intel.com/resource/18025552858,18025552858,377157,ND SW Requirement,18025552858
